Especie,LON,LAT
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.2801057,19.0206367
Ambystoma_altamirani,-99.39,19.31
Ambystoma_altamirani,-99.39,19.31
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.316667,19.05
Ambystoma_altamirani,-99.404444,19.300833
Ambystoma_altamirani,-99.404444,19.300833
Ambystoma_altamirani,-99.404444,19.300833
Ambystoma_altamirani,-99.404444,19.300833
Ambystoma_altamirani,-99.4095536,19.2928455
Ambystoma_altamirani,-99.4095536,19.2928455
Ambystoma_altamirani,-99.4095536,19.2928455
Ambystoma_altamirani,-99.4095536,19.2928455
Ambystoma_altamirani,-99.384444,19.292222
Ambystoma_altamirani,-99.386398,19.302
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.387222,19.313889
Ambystoma_altamirani,-99.3901093,19.3106227
Ambystoma_altamirani,-99.8473412,19.0645218
Ambystoma_altamirani,-99.37,19.3
Ambystoma_altamirani,-99.3701087,19.3006232
Ambystoma_altamirani,-99.37,19.3
Ambystoma_altamirani,-99.37,19.3
Ambystoma_altamirani,-99.37,19.3
Ambystoma_altamirani,-99.3701087,19.3006232
Ambystoma_altamirani,-99.3701087,19.3006232
Ambystoma_altamirani,-99.3687197,19.2909017
Ambystoma_altamirani,-99.368611,19.290278
Ambystoma_altamirani,-99.36,19.3
Ambystoma_altamirani,-99.3701087,19.3006232
Ambystoma_altamirani,-99.3601085,19.3006232
Ambystoma_altamirani,-99.384167,19.433333
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.5012228,19.2778459
Ambystoma_altamirani,-99.311111,19.055556
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.386398,19.302
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.390278,19.303889
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.386398,19.302
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.394203,19.242222
